Date,Yield
1962-01-02,4.059999942779541
1962-01-03,4.03000020980835
1962-01-04,3.990000009536743
1962-01-05,4.019999980926514
1962-01-08,4.03000020980835
1962-01-09,4.050000190734863
1962-01-10,4.070000171661377
1962-01-11,4.079999923706055
1962-01-12,4.079999923706055
1962-01-15,4.099999904632568
1962-01-16,4.130000114440918
1962-01-17,4.119999885559082
1962-01-18,4.110000133514404
1962-01-19,4.110000133514404
1962-01-22,4.090000152587891
1962-01-23,4.110000133514404
1962-01-24,4.099999904632568
1962-01-25,4.110000133514404
1962-01-26,4.110000133514404
1962-01-29,4.119999885559082
1962-01-30,4.110000133514404
1962-01-31,4.099999904632568
1962-02-01,4.090000152587891
1962-02-02,4.079999923706055
1962-02-05,4.070000171661377
1962-02-06,4.059999942779541
1962-02-07,4.070000171661377
1962-02-08,4.070000171661377
1962-02-09,4.050000190734863
1962-02-13,4.03000020980835
1962-02-14,4.03000020980835
1962-02-15,4.019999980926514
1962-02-16,4.019999980926514
1962-02-19,4.010000228881836
1962-02-20,4.050000190734863
1962-02-21,4.03000020980835
1962-02-23,4.019999980926514
1962-02-26,4.0
1962-02-27,4.010000228881836
1962-02-28,4.0
1962-03-01,3.9800000190734863
1962-03-02,3.9800000190734863
1962-03-05,4.0
1962-03-06,4.010000228881836
1962-03-07,4.0
1962-03-08,3.9800000190734863
1962-03-09,3.9600000381469727
1962-03-12,3.940000057220459
1962-03-13,3.9200000762939453
1962-03-14,3.930000066757202
1962-03-15,3.9600000381469727
1962-03-16,3.9600000381469727
1962-03-19,3.930000066757202
1962-03-20,3.9100000858306885
1962-03-21,3.859999895095825
1962-03-22,3.8299999237060547
1962-03-23,3.869999885559082
1962-03-26,3.890000104904175
1962-03-27,3.9000000953674316
1962-03-28,3.9000000953674316
1962-03-29,3.9000000953674316
1962-03-30,3.859999895095825
1962-04-02,3.859999895095825
1962-04-03,3.8299999237060547
1962-04-04,3.7799999713897705
1962-04-05,3.8399999141693115
1962-04-06,3.809999942779541
1962-04-09,3.8299999237060547
1962-04-10,3.8299999237060547
1962-04-11,3.869999885559082
1962-04-12,3.859999895095825
1962-04-13,3.8499999046325684
1962-04-16,3.8299999237060547
1962-04-17,3.819999933242798
1962-04-18,3.809999942779541
1962-04-19,3.819999933242798
1962-04-23,3.859999895095825
1962-04-24,3.869999885559082
1962-04-25,3.880000114440918
1962-04-26,3.890000104904175
1962-04-27,3.859999895095825
1962-04-30,3.859999895095825
1962-05-01,3.8499999046325684
1962-05-02,3.859999895095825
1962-05-03,3.859999895095825
1962-05-04,3.869999885559082
1962-05-07,3.859999895095825
1962-05-08,3.8499999046325684
1962-05-09,3.819999933242798
1962-05-10,3.8299999237060547
1962-05-11,3.819999933242798
1962-05-14,3.8499999046325684
1962-05-15,3.869999885559082
1962-05-16,3.859999895095825
1962-05-17,3.869999885559082
1962-05-18,3.930000066757202
1962-05-21,3.940000057220459
1962-05-22,3.930000066757202
1962-05-23,3.9100000858306885
1962-05-24,3.9000000953674316
1962-05-25,3.880000114440918
1962-05-28,3.869999885559082
1962-05-29,3.890000104904175
1962-05-31,3.9000000953674316
1962-06-01,3.890000104904175
1962-06-04,3.880000114440918
1962-06-05,3.890000104904175
1962-06-06,3.890000104904175
1962-06-07,3.869999885559082
1962-06-08,3.859999895095825
1962-06-11,3.869999885559082
1962-06-12,3.859999895095825
1962-06-13,3.869999885559082
1962-06-14,3.9000000953674316
1962-06-15,3.890000104904175
1962-06-18,3.9100000858306885
1962-06-19,3.930000066757202
1962-06-20,3.9200000762939453
1962-06-21,3.9000000953674316
1962-06-22,3.9000000953674316
1962-06-25,3.950000047683716
1962-06-26,3.9700000286102295
1962-06-27,3.9600000381469727
1962-06-28,3.9800000190734863
1962-06-29,4.0
1962-07-02,4.0
1962-07-03,4.0
1962-07-05,4.0
1962-07-06,4.019999980926514
1962-07-09,4.050000190734863
1962-07-10,4.019999980926514
1962-07-11,3.990000009536743
1962-07-12,4.0
1962-07-13,4.0
1962-07-16,4.010000228881836
1962-07-17,4.03000020980835
1962-07-18,4.019999980926514
1962-07-19,4.019999980926514
1962-07-20,4.010000228881836
1962-07-23,4.0
1962-07-24,4.010000228881836
1962-07-25,4.019999980926514
1962-07-26,4.010000228881836
1962-07-27,4.019999980926514
1962-07-30,4.03000020980835
1962-07-31,4.039999961853027
1962-08-01,4.03000020980835
1962-08-02,4.0
1962-08-03,4.010000228881836
1962-08-06,4.010000228881836
1962-08-07,4.019999980926514
1962-08-08,4.010000228881836
1962-08-09,3.990000009536743
1962-08-10,3.990000009536743
1962-08-13,3.990000009536743
1962-08-14,3.9800000190734863
1962-08-15,3.9800000190734863
1962-08-16,3.9600000381469727
1962-08-17,3.9600000381469727
1962-08-20,3.940000057220459
1962-08-21,3.940000057220459
1962-08-22,3.950000047683716
1962-08-23,3.950000047683716
1962-08-24,3.950000047683716
1962-08-27,3.950000047683716
1962-08-28,3.9600000381469727
1962-08-29,3.9600000381469727
1962-08-30,3.950000047683716
1962-08-31,3.9600000381469727
1962-09-04,3.9600000381469727
1962-09-05,3.9700000286102295
1962-09-06,3.990000009536743
1962-09-07,4.010000228881836
1962-09-10,4.0
1962-09-11,4.0
1962-09-12,4.0
1962-09-13,3.990000009536743
1962-09-14,3.990000009536743
1962-09-17,3.990000009536743
1962-09-18,3.9800000190734863
1962-09-19,3.990000009536743
1962-09-20,3.9800000190734863
1962-09-21,3.9800000190734863
1962-09-24,3.9700000286102295
1962-09-25,3.9600000381469727
1962-09-26,3.950000047683716
1962-09-27,3.950000047683716
1962-09-28,3.940000057220459
1962-10-01,3.930000066757202
1962-10-02,3.9200000762939453
1962-10-03,3.9000000953674316
1962-10-04,3.9000000953674316
1962-10-05,3.9200000762939453
1962-10-08,3.930000066757202
1962-10-09,3.950000047683716
1962-10-10,3.930000066757202
1962-10-11,3.940000057220459
1962-10-15,3.940000057220459
1962-10-16,3.940000057220459
1962-10-17,3.940000057220459
1962-10-18,3.9200000762939453
1962-10-19,3.880000114440918
1962-10-22,3.9100000858306885
1962-10-23,3.940000057220459
1962-10-24,3.940000057220459
1962-10-25,3.940000057220459
1962-10-26,3.930000066757202
1962-10-29,3.9200000762939453
1962-10-30,3.9200000762939453
1962-10-31,3.9200000762939453
1962-11-01,3.9200000762939453
1962-11-02,3.9100000858306885
1962-11-05,3.9100000858306885
1962-11-07,3.9100000858306885
1962-11-08,3.9000000953674316
1962-11-09,3.890000104904175
1962-11-13,3.9000000953674316
1962-11-14,3.9100000858306885
1962-11-15,3.9100000858306885
1962-11-16,3.930000066757202
1962-11-19,3.930000066757202
1962-11-20,3.930000066757202
1962-11-21,3.9200000762939453
1962-11-23,3.9200000762939453
1962-11-26,3.930000066757202
1962-11-27,3.9200000762939453
1962-11-28,3.9200000762939453
1962-11-29,3.9200000762939453
1962-11-30,3.9200000762939453
1962-12-03,3.930000066757202
1962-12-04,3.940000057220459
1962-12-05,3.930000066757202
1962-12-06,3.9200000762939453
1962-12-07,3.9100000858306885
1962-12-10,3.9000000953674316
